analysis,target,domain_variant,control_variant,generic_seed,generic_d_n,generic_metric,generic_source_file,pool_target,eval_target,fold_seed,supervised_seed,supervised_d_n,supervised_metric,supervised_source_file,n_items,observed_generic_rho,observed_supervised_rho,observed_diff
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed17_dn8.csv,36,-0.21502609535555892,0.38949337631770403,0.6045194716732629
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,101,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed18_dn8.csv,36,-0.21502609535555892,0.24013393283719603,0.4551600281927549
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,101,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed19_dn8.csv,36,-0.21502609535555892,0.3424966548777166,0.5575227502332755
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,123,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed17_dn8.csv,36,-0.21502609535555892,0.3812528552980898,0.5962789506536487
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed18_dn8.csv,36,-0.21502609535555892,0.242837853796757,0.4578639491523159
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed19_dn8.csv,36,-0.21502609535555892,0.303096663752686,0.5181227591082449
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed17_dn8.csv,36,-0.21502609535555892,0.43262735352974735,0.6476534488853063
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed18_dn8.csv,36,-0.21502609535555892,0.4382927117307321,0.653318807086291
domain_contrast,Creativity,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Creativity,Creativity,202,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed19_dn8.csv,36,-0.21502609535555892,0.2952424171558662,0.5102685125114251
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed17_dn8.csv,36,-0.20575550920849292,0.38949337631770403,0.5952488855261969
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,101,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed18_dn8.csv,36,-0.20575550920849292,0.24013393283719603,0.4458894420456889
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,101,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed19_dn8.csv,36,-0.20575550920849292,0.3424966548777166,0.5482521640862095
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,123,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed17_dn8.csv,36,-0.20575550920849292,0.3812528552980898,0.5870083645065827
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed18_dn8.csv,36,-0.20575550920849292,0.242837853796757,0.4485933630052499
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed19_dn8.csv,36,-0.20575550920849292,0.303096663752686,0.5088521729611789
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed17_dn8.csv,36,-0.20575550920849292,0.43262735352974735,0.6383828627382403
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed18_dn8.csv,36,-0.20575550920849292,0.4382927117307321,0.644048220939225
domain_contrast,Creativity,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Creativity,Creativity,202,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed19_dn8.csv,36,-0.20575550920849292,0.2952424171558662,0.5009979263643591
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed17_dn8.csv,36,-0.13094702932730742,0.38949337631770403,0.5204404056450115
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,101,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed18_dn8.csv,36,-0.13094702932730742,0.24013393283719603,0.3710809621645035
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,101,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed19_dn8.csv,36,-0.13094702932730742,0.3424966548777166,0.47344368420502403
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,123,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed17_dn8.csv,36,-0.13094702932730742,0.3812528552980898,0.5121998846253972
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed18_dn8.csv,36,-0.13094702932730742,0.242837853796757,0.37378488312406444
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed19_dn8.csv,36,-0.13094702932730742,0.303096663752686,0.43404369307999346
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed17_dn8.csv,36,-0.13094702932730742,0.43262735352974735,0.5635743828570547
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed18_dn8.csv,36,-0.13094702932730742,0.4382927117307321,0.5692397410580395
domain_contrast,Creativity,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Creativity,Creativity,202,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed19_dn8.csv,36,-0.13094702932730742,0.2952424171558662,0.4261894464831736
