tag,source,model,kernel,accuracy,ci95_low,ci95_high,n,n_boot
subset1155_local_baselines_maxdomain10,compression_v_maxdomain10,domain_contrast_sign_rule,,0.7974025974025974,0.7740259740259741,0.8207792207792208,1155,5000
subset1155_local_baselines_maxdomain10,compression_v_maxdomain10,domain_specificity_logistic,,0.7956709956709956,0.7722943722943723,0.819047619047619,1155,5000
subset1155_local_baselines_maxdomain10,tfidf_kernel_control,surface_plus_domain_specificity,tfidf,0.606926406926407,0.5774891774891775,0.6354978354978355,1155,5000
subset1155_local_baselines_maxdomain10,compression_v_maxdomain10,surface_format,,0.6025974025974026,0.5731601731601732,0.6303030303030303,1155,5000
subset1155_local_baselines_maxdomain10,embedding_kernel_control,surface_plus_domain_specificity,embedding,0.6,0.5714285714285714,0.6277056277056277,1155,5000
subset1155_local_baselines_maxdomain10,random_pool_control,surface_format,,0.595176571920758,0.5667312661498708,0.6236003445305771,1161,5000
subset1155_local_baselines_maxdomain10,tfidf_kernel_control,domain_specificity_logistic,tfidf,0.5108225108225108,0.4822294372294372,0.5385281385281385,1155,5000
subset1155_local_baselines_maxdomain10,random_pool_control,random_domain_contrast_sign_rule,,0.4892334194659776,0.4608096468561585,0.5185185185185185,1161,5000
subset1155_local_baselines_maxdomain10,embedding_kernel_control,domain_specificity_logistic,embedding,0.4891774891774891,0.4614502164502164,0.5177489177489177,1155,5000
subset1155_local_baselines_maxdomain10,random_pool_control,random_domain_specificity_logistic,,0.4849267872523686,0.4556416881998277,0.512489233419466,1161,5000
