tag,operator,model_a,model_b,delta_accuracy,delta_ci95_low,delta_ci95_high,p_delta_le_zero,p_delta_ge_zero
train_domain_embedding_min2_max10_top50,mean,mean_train_domain_sign_rule,surface_format,-0.06693548387096775,-0.0939516129032258,-0.039112903225806454,1.0,0.0
train_domain_embedding_min2_max10_top50,mean,mean_train_domain_logistic,surface_format,-0.06693548387096775,-0.0939516129032258,-0.039112903225806454,1.0,0.0
train_domain_embedding_min2_max10_top50,mean,mean_surface_plus_train_domain,surface_format,0.0004032258064516129,-0.012096774193548387,0.012903225806451613,0.483,0.5442
train_domain_embedding_min2_max10_top50,mean,mean_surface_plus_train_domain,mean_train_domain_logistic,0.06733870967741935,0.04233870967741935,0.09193548387096774,0.0,1.0
train_domain_embedding_min2_max10_top50,max,max_train_domain_sign_rule,surface_format,-0.0814516129032258,-0.10967741935483871,-0.05282258064516129,1.0,0.0
train_domain_embedding_min2_max10_top50,max,max_train_domain_logistic,surface_format,-0.0814516129032258,-0.10967741935483871,-0.05282258064516129,1.0,0.0
train_domain_embedding_min2_max10_top50,max,max_surface_plus_train_domain,surface_format,-0.0012096774193548388,-0.0125,0.010483870967741936,0.6026,0.4272
train_domain_embedding_min2_max10_top50,max,max_surface_plus_train_domain,max_train_domain_logistic,0.08024193548387097,0.054838709677419356,0.10564516129032259,0.0,1.0
train_domain_embedding_min2_max10_top50,top2,top2_train_domain_sign_rule,surface_format,-0.06975806451612904,-0.09717741935483871,-0.04112903225806452,1.0,0.0
train_domain_embedding_min2_max10_top50,top2,top2_train_domain_logistic,surface_format,-0.06975806451612904,-0.09717741935483871,-0.04112903225806452,1.0,0.0
train_domain_embedding_min2_max10_top50,top2,top2_surface_plus_train_domain,surface_format,0.0012096774193548388,-0.010887096774193548,0.013306451612903225,0.439,0.5856
train_domain_embedding_min2_max10_top50,top2,top2_surface_plus_train_domain,top2_train_domain_logistic,0.07096774193548387,0.04596774193548387,0.09516129032258064,0.0,1.0
train_domain_embedding_min2_max10_top50,top3,top3_train_domain_sign_rule,surface_format,-0.0717741935483871,-0.09919354838709678,-0.04353830645161305,1.0,0.0
train_domain_embedding_min2_max10_top50,top3,top3_train_domain_logistic,surface_format,-0.0717741935483871,-0.09919354838709678,-0.04353830645161305,1.0,0.0
train_domain_embedding_min2_max10_top50,top3,top3_surface_plus_train_domain,surface_format,-0.0004032258064516129,-0.013306451612903225,0.012096774193548387,0.5292,0.4936
train_domain_embedding_min2_max10_top50,top3,top3_surface_plus_train_domain,top3_train_domain_logistic,0.07137096774193548,0.04596774193548387,0.09556451612903226,0.0,1.0
train_domain_embedding_min2_max10_top50,top5,top5_train_domain_sign_rule,surface_format,-0.06612903225806452,-0.0939516129032258,-0.038306451612903226,1.0,0.0
train_domain_embedding_min2_max10_top50,top5,top5_train_domain_logistic,surface_format,-0.06612903225806452,-0.0939516129032258,-0.038306451612903226,1.0,0.0
train_domain_embedding_min2_max10_top50,top5,top5_surface_plus_train_domain,surface_format,0.0012096774193548388,-0.011693548387096775,0.014112903225806451,0.4388,0.5852
train_domain_embedding_min2_max10_top50,top5,top5_surface_plus_train_domain,top5_train_domain_logistic,0.06733870967741935,0.04233870967741935,0.09274193548387097,0.0,1.0
